State,Governor Party,Republican Seats,Democratic Seats,Plan to Redraw,Retaliate to State,Partisan Redraw 2026 Pickup
Alabama,R,5,2,No,N/A,Pending
Alaska,R,0,1,No,N/A,N/A
Arizona,D,6,3,No,N/A,N/A
Arkansas,R,4,2,No,N/A,Pending
California,D,9,43,Yes,Texas,D+5
Colorado,D,4,4,Unclear,N/A,Pending
Connecticut,D,0,5,No,N/A,N/A
Delaware,D,0,1,No,N/A,N/A
Florida,R,20,8,Yes,California,R+5
Georgia,R,9,5,No,N/A,Pending
Hawaii,D,0,2,No,N/A,N/A
Idaho,R,2,0,No,N/A,N/A
Illinois,D,3,14,Unclear,Florida,Pending
Indiana,R,7,2,Unclear,N/A,Pending
Iowa,R,4,0,No,N/A,N/A
Kansas,D,3,1,No,N/A,N/A
Kentucky,D,5,1,No,N/A,N/A
Louisiana,R,4,2,Unclear,N/A,Pending
Maine,D,1,1,No,N/A,N/A
Maryland,D,1,7,Unclear,N/A,Pending
Massachusetts,D,0,9,No,N/A,N/A
Michigan,R,7,6,No,N/A,N/A
Minnesota,D,4,4,No,N/A,N/A
Mississippi,R,3,1,No,N/A,Pending
Missouri,R,6,2,Yes,N/A,R+1
Montana,R,2,0,No,N/A,N/A
Nebraska,R,3,0,Yes,N/A,R+1
Nevada,R,1,3,No,N/A,N/A
New Hampshire,R,0,2,No,N/A,N/A
New Jersey,D,3,9,No,N/A,N/A
New Mexico,D,0,3,No,N/A,N/A
New York,D,7,19,Unclear,N/A,Pending
North Carolina,D,10,4,No,N/A,N/A
North Dakota,R,1,0,No,N/A,N/A
Ohio,R,10,5,Yes,N/A,R+2
Oklahoma,R,5,0,No,N/A,N/A
Oregon,D,1,5,No,N/A,N/A
Pennsylvania,D,10,7,No,N/A,N/A
Rhode Island,D,0,2,No,N/A,N/A
South Carolina,R,6,1,Unclear,N/A,Pending
South Dakota,R,1,0,No,N/A,N/A
Tennessee,R,7,1,No,N/A,N/A
Texas,R,25,12,Yes,Starting Point,R+5
Utah,R,4,0,No,N/A,N/A
Vermont,R,1,1,No,N/A,N/A
Virginia,R,5,5,No,N/A,N/A
Washington,D,2,8,No,N/A,N/A
West Virginia,R,2,0,No,N/A,N/A
Wisconsin,D,6,2,No,N/A,N/A
Wyoming,R,1,0,No,N/A,N/A
